Indicator,Missing_pct
DH_26,32.075471698113205
DH_54,30.18867924528302
DH_23,28.30188679245283
DH_21,26.41509433962264
DH_50,26.41509433962264
DH_6,24.528301886792452
DH_9,22.641509433962266
DH_69,22.641509433962266
DH_22,20.754716981132077
DH_45,20.754716981132077
DH_51,20.754716981132077
DH_20,18.867924528301888
DH_49,18.867924528301888
DH_53,18.867924528301888
DH_46,16.9811320754717
DH_48,16.9811320754717
DH_5,15.09433962264151
DH_7,15.09433962264151
DH_44,15.09433962264151
DH_52,15.09433962264151
DH_10,11.320754716981133
DH_17,11.320754716981133
DH_68,11.320754716981133
DH_70,11.320754716981133
DH_15,9.433962264150944
DH_16,9.433962264150944
DH_29,9.433962264150944
DH_47,9.433962264150944
DH_27,7.547169811320755
DH_28,7.547169811320755
DH_67,7.547169811320755
DH_3,5.660377358490567
DH_11,5.660377358490567
DH_13,5.660377358490567
DH_43,5.660377358490567
DH_4,3.7735849056603774
DH_8,3.7735849056603774
DH_14,3.7735849056603774
DH_18,3.7735849056603774
DH_19,3.7735849056603774
DH_24,3.7735849056603774
DH_25,3.7735849056603774
DH_1,1.8867924528301887
DH_2,1.8867924528301887
DH_12,1.8867924528301887
