"","DH_1","DH_2","DH_3","DH_5","DH_6","DH_7","DH_8","DH_9","DH_10","DH_12","DH_13","DH_14","DH_15","DH_16","DH_17","DH_18","DH_19","DH_20","DH_21","DH_22","DH_23","DH_24","DH_25","DH_26","DH_27","DH_28","DH_29","DH_43","DH_44","DH_45","DH_46","DH_47","DH_48","DH_49","DH_50","DH_51","DH_52","DH_53","DH_54","DH_67","DH_68","DH_69","DH_70"
"DH_49",0.6523,0.3984,0.2914,0.1705,0.3747,0.4297,0.5748,0.0458,0.3747,0.106,0.0715,0.294,0.4054,0.4471,0.1922,0.192,0.8659,0.8281,0.4969,0.2451,0.2816,0.0309,0.6328,0.0269,0.0346,0.1893,0.1537,0.0022,0.0264,0.9178,0.0264,0.0269,0,0,0,0.0012,0.0269,0.0309,0.0278,0.3747,0.6493,0.9738,0.4499
"DH_50",0.6414,0.1677,0.4323,0.2568,0.0542,0.859,0.4471,0.5456,0.0542,0.7384,0.6888,0.8921,0.4499,0.859,0.2368,0.1704,0.9018,0.3421,0.9905,0.8808,0.5739,0.2368,0.8808,0.1118,0.3601,0.3961,0.5278,0.1044,0.1228,0.5173,0.0279,0.017,5e-04,0,0,1e-04,0.017,0.2368,0.6275,0.533,0.7398,0.6888,0.6297
"DH_51",0.9759,0.3491,0.8423,0.0983,0.2884,0.3754,0.2984,0.3284,0.2884,0.3997,0.1742,0.5997,0.4297,0.4054,0.9819,0.5197,0.3284,0.4297,0.0629,0.0121,0.0437,0.2338,0.0697,0.0476,0.3811,0.0087,0.0456,0.1214,0.2372,0.4988,0.0178,0.5618,0.0179,0.0012,1e-04,0,0.2036,0.0697,0.9035,0.6316,0.1481,0.5597,0.4193
"DH_52",0.1188,0.7101,0.5473,0.607,0.0311,0.431,0.457,0.2298,0.4652,0.2736,0.0723,0.1264,0.0269,0.918,0.0492,0.0625,0.0431,0.7537,0.5145,0.6243,0.4295,0.2231,0.0492,0.5582,0.0286,0.1031,0.0822,0.2125,0.0696,0.5145,0.6643,0.1575,0.0269,0.0269,0.017,0.2036,0,0.6243,0.2222,0.0311,0.0687,0.1881,0.4103
"DH_53",0.2097,0.0963,0.3509,0.7269,0.6537,0.531,0.9585,0.0925,0.8722,0.6236,0.1547,0.4429,0.6328,0.2338,0.4555,0.0904,0.7922,0.6328,0.2877,0.5969,0.2703,0.5969,0.4555,0.6243,0.1536,0.225,0.6716,0.6328,0.8393,0.8722,0.6931,0.8173,0.0309,0.0309,0.2368,0.0697,0.6243,0,0.1289,0.8722,0.4776,0.5295,0.2368
"DH_54",0.1865,1,0.0407,0.2563,0.1433,0.1935,0.9598,0.4657,0.7891,0.4979,0.3497,0.2463,0.1705,0.6431,0.7889,0.3517,0.1562,0.0664,0.1282,0.7889,0.9731,0.3746,0.1289,0.0517,0.1622,0.9373,0.1448,0.1705,0.5114,0.7891,0.6149,0.2222,0.1705,0.0278,0.6275,0.9035,0.2222,0.1289,0,0.3893,0.1729,0.7001,0.8748
"DH_67",0.175,0.5291,0.7749,0.3893,0.4872,0.2071,0.1183,0.0107,0.0015,0.0307,0,0.0026,6e-04,0.2071,0.0425,0.894,0.0669,0.4969,0.0226,0.2877,0.3073,0.44,0.0425,0.4652,0.368,0.4511,0.772,0.0116,0.0082,0.0226,0.0429,0.0311,0.0913,0.3747,0.533,0.6316,0.0311,0.8722,0.3893,0,0.0013,0.6675,9e-04
"DH_68",0.2784,0.5178,0.3765,0.1729,0.9549,0.0047,0.0971,0.0461,0.0592,0.1105,0.0037,0.288,0.2053,0.8056,0.9341,0.3272,0.0461,0.0464,0.0771,0.0126,0.3272,0.9341,0.1783,0.7081,0.6072,0.0657,0.2654,0.2053,0.1035,0.2506,0.0245,0.2762,0.2053,0.6493,0.7398,0.1481,0.0687,0.4776,0.1729,0.0013,0,6e-04,0.7491
"DH_69",0.1842,1,0.3554,0.7847,0.2778,0.4806,0.7057,0.9664,0.8253,0.1872,0.1084,0.1095,0.4006,0.9516,0.1876,0.6423,0.9664,0.3644,0.6675,0.4642,0.6028,0.9591,0.1876,0.5911,0.0838,0.0348,0.0549,0.9738,0.4622,0.3822,0.4622,0.3147,0.4006,0.9738,0.6888,0.5597,0.1881,0.5295,0.7001,0.6675,6e-04,0,0.3083
"DH_70",0.3737,0.3029,0.2278,0.4224,0.5173,0.4193,0.7125,0.0356,0.533,0.076,6e-04,0.0031,0.0114,0.1478,0.0098,0.6901,0.9018,0.4499,0.0511,0.2368,0.5739,0.6078,0.0616,0.9436,0.1018,0.1067,0.5278,0.1044,0.1228,0.5173,0.0279,0.4103,0.1044,0.4499,0.6297,0.4193,0.4103,0.2368,0.8748,9e-04,0.7491,0.3083,0
