"","DH_1","DH_2","DH_3","DH_5","DH_6","DH_7","DH_8","DH_9","DH_10","DH_12","DH_13","DH_14","DH_15","DH_16","DH_17","DH_18","DH_19","DH_20","DH_21","DH_22","DH_23","DH_24","DH_25","DH_26","DH_27","DH_28","DH_29","DH_43","DH_44","DH_45","DH_46","DH_47","DH_48","DH_49","DH_50","DH_51","DH_52","DH_53","DH_54","DH_67","DH_68","DH_69","DH_70"
"DH_44",0.0323,-0.13,-0.0686,0.1737,-0.0379,0.2327,0.3214,0.2991,0.4401,0.3984,0.2554,0.3676,0.4127,0.1532,0.3076,0.1976,0.3913,0.1261,0.1229,0.1966,0.1677,0.0555,0.1395,0.1561,0.2089,0.3557,0.171,0.5205,1,0.3643,0.6057,0.3464,0.0895,0.305,0.2146,0.1652,0.2513,-0.0285,0.0922,0.3597,0.2261,0.1032,0.2146
"DH_45",0.1103,0.1326,0.0015,0.2116,0.0155,0.1486,0.3657,0.1224,0.3127,0.2413,0.3347,0.2916,0.3152,0.3109,0.3202,0.0187,0.1224,0.1244,0.0155,0.2797,-0.0187,-0.0226,0.0631,0.1885,0.0889,0.2698,0.1761,0.3152,0.3643,1,0.3643,0.1885,0.0954,-0.0145,0.0909,0.095,0.0915,-0.0226,-0.0376,0.3127,0.1606,0.1225,0.0909
"DH_46",0.0323,0,-0.0686,0.1737,0.0425,0.3123,0.3709,0.2991,0.5206,0.2664,0.3451,0.0258,0.0895,0.0736,0.1395,0.0758,0.2991,0.1261,0.2034,0.2806,0.1677,0.0555,-0.0285,0.1561,0.2089,0.4469,0.2494,0.4127,0.6057,0.3643,1,0.3464,0.1972,0.305,0.3021,0.3243,0.061,0.0555,-0.0707,0.2793,0.3087,0.1032,0.3021
"DH_47",-0.1559,0.0523,0.1251,0.1705,-0.1995,0.1105,0.2949,0.5013,0.4906,0.4715,0.2489,0.2126,0.3041,0.0145,0.2715,0.2577,0.0566,0.0858,0.0915,0.1338,0.036,0.2715,-0.0325,0.3117,0.181,0.2048,0.1831,0.3041,0.3464,0.1885,0.3464,1,0.1741,0.3041,0.3265,0.0815,0.197,-0.0325,0.1705,0.2965,0.1523,-0.1408,0.1155
"DH_48",-0.0173,0.1776,0.1477,0.0798,-0.1244,0.1108,-0.0019,0.2756,0.1244,0.2245,0.3721,0.1469,0.1167,0.1108,0.2968,0.0157,-0.1022,0.0306,0.0954,0.0477,0.1506,0.2968,0.0672,0.1741,0.1302,0.1587,0.059,0.2639,0.0895,0.0954,0.1972,0.1741,1,0.7056,0.4646,0.3241,0.3041,0.2968,0.1911,0.2343,0.1768,0.1179,0.2256
"DH_49",-0.0633,0.1184,0.1477,0.1911,-0.1244,0.1108,0.0788,0.2756,0.1244,0.2245,0.2496,0.1469,0.1167,-0.1067,0.182,0.182,0.0238,0.0306,0.0954,0.1625,0.1506,0.2968,0.0672,0.3041,0.2909,0.1832,0.1987,0.4111,0.305,-0.0145,0.305,0.3041,0.7056,1,0.5842,0.4329,0.3041,0.2968,0.3024,0.1244,0.0639,-0.0046,0.106
"DH_50",-0.0655,0.1923,0.1102,0.1586,-0.266,0.025,0.1067,0.0849,0.266,-0.047,0.0563,0.0191,0.106,0.025,0.1653,0.1911,-0.0174,0.1331,0.0017,0.0211,0.079,0.1653,-0.0211,0.221,0.1282,0.119,0.0887,0.2256,0.2146,0.0909,0.3021,0.3265,0.4646,0.5842,1,0.5047,0.3265,0.1653,0.0682,0.0876,-0.0467,-0.0563,-0.0678
"DH_51",-0.0043,0.1312,0.028,0.2295,-0.1486,0.1242,0.1455,0.1369,0.1486,-0.1181,0.1895,-0.0738,-0.1108,-0.1167,-0.0032,0.0904,0.1369,0.1108,0.2573,0.3424,0.2782,0.1664,0.2512,0.2735,0.1228,0.3571,0.2758,0.2154,0.1652,0.095,0.3243,0.0815,0.3241,0.4329,0.5047,1,0.1775,0.2512,-0.0171,0.0674,0.2014,0.0819,-0.1133
"DH_52",0.2169,0.0523,0.0845,0.0723,-0.2965,0.1105,0.1044,0.1678,0.1025,0.1532,0.2489,0.2126,0.3041,0.0145,0.2715,0.2577,0.279,-0.0441,0.0915,-0.0688,-0.1108,0.1702,0.2715,0.0823,0.3008,0.2264,0.241,0.1741,0.2513,0.0915,0.061,0.197,0.3041,0.3041,0.3265,0.1775,1,0.0688,0.1705,0.2965,0.252,0.1836,0.1155
"DH_53",0.1751,0.2308,-0.1307,-0.0491,0.0631,0.088,0.0073,0.2335,0.0226,0.069,0.1983,0.1076,0.0672,-0.1664,0.1047,-0.235,0.0371,-0.0672,0.1488,0.0743,-0.1542,-0.0743,0.1047,0.0688,0.1988,0.1695,0.0596,0.0672,-0.0285,-0.0226,0.0555,-0.0325,0.2968,0.2968,0.1653,0.2512,0.0688,1,0.2112,0.0226,0.0997,0.0883,0.1653
"DH_54",0.1843,0,0.282,0.1587,-0.2038,0.1814,-0.0071,0.1024,0.0376,0.0952,0.131,0.1621,0.1911,-0.0651,0.0377,0.1305,0.1976,0.2541,0.2116,-0.0377,-0.0047,0.1244,0.2112,0.2688,0.1948,-0.0111,0.2031,0.1911,0.0922,-0.0376,-0.0707,0.1705,0.1911,0.3024,0.0682,-0.0171,0.1705,0.2112,1,0.1207,0.19,0.0542,-0.0222
"DH_67",0.1891,-0.0884,-0.0402,0.1207,-0.0975,0.1761,0.2172,0.3477,0.4257,0.2971,0.6712,0.4056,0.4541,0.1761,0.2797,-0.0187,0.2537,0.0954,0.3127,0.1488,0.1429,0.1083,0.2797,0.1025,0.1262,0.1057,-0.0408,0.3442,0.3597,0.3127,0.2793,0.2965,0.2343,0.1244,0.0876,0.0674,0.2965,0.0226,0.1207,1,0.4294,0.0604,0.4445
"DH_68",0.1516,-0.0908,0.124,0.19,-0.008,0.3823,0.2303,0.2752,0.2608,0.2218,0.3918,0.1487,0.1768,-0.0346,0.0116,-0.1372,0.2752,0.2748,0.2449,0.3406,0.1372,0.0116,0.1877,0.0527,0.0723,0.2547,0.1558,0.1768,0.2261,0.1606,0.3087,0.1523,0.1768,0.0639,-0.0467,0.2014,0.252,0.0997,0.19,0.4294,1,0.4538,0.045
"DH_69",0.1853,0,0.1295,-0.0384,-0.1518,0.099,-0.0531,-0.0059,-0.0311,0.184,0.2231,0.2224,0.1179,0.0085,0.1838,0.0653,-0.0059,0.1271,-0.0604,0.1027,0.0731,-0.0072,0.1838,0.0755,0.2398,0.2906,0.2653,-0.0046,0.1032,0.1225,0.1032,-0.1408,0.1179,-0.0046,-0.0563,0.0819,0.1836,0.0883,0.0542,0.0604,0.4538,1,0.1426
"DH_70",0.1247,-0.1442,-0.1685,-0.1125,0.0909,0.1133,0.0518,0.2894,0.0876,0.2459,0.4542,0.3983,0.3451,0.2016,0.3518,0.0561,-0.0174,-0.106,0.2694,-0.1653,0.079,0.0721,0.2586,0.01,0.2272,0.2241,0.0887,0.2256,0.2146,0.0909,0.3021,0.1155,0.2256,0.106,-0.0678,-0.1133,0.1155,0.1653,-0.0222,0.4445,0.045,0.1426,1
