COUNTRY_REGION,DHMI_equal,DHMI_scaled
BGR,100,100
FRA,100,100
LTU,100,100
LUX,100,100
MCO,100,100
NLD,100,100
MKD,100,100
PRT,100,100
MDA,100,100
RUS,100,100
SVK,100,100
SVN,100,100
AND,96.66666666666667,75.00000000000003
DNK,96.66666666666667,75.00000000000003
ISL,96.66666666666667,75.00000000000003
ISR,96.66666666666667,75.00000000000003
ITA,96.66666666666667,75.00000000000003
NOR,96.66666666666667,75.00000000000003
SMR,96.66666666666667,75.00000000000003
SWE,96.66666666666667,75.00000000000003
UKR,96.66666666666667,75.00000000000003
GBR,96.66666666666667,75.00000000000003
ARM,96.29629629629629,72.22222222222217
CZE,96.29629629629629,72.22222222222217
IRL,96.29629629629629,72.22222222222217
CHE,96.29629629629629,72.22222222222217
EST,94.44444444444444,58.3333333333333
AUT,93.33333333333333,49.99999999999994
AZE,93.33333333333333,49.99999999999994
BLR,93.33333333333333,49.99999999999994
BEL,93.33333333333333,49.99999999999994
CYP,93.33333333333333,49.99999999999994
FIN,93.33333333333333,49.99999999999994
DEU,93.33333333333333,49.99999999999994
HUN,93.33333333333333,49.99999999999994
KGZ,93.33333333333333,49.99999999999994
MNE,93.33333333333333,49.99999999999994
POL,93.33333333333333,49.99999999999994
ESP,93.33333333333333,49.99999999999994
TUR,93.33333333333333,49.99999999999994
TKM,91.66666666666667,37.500000000000014
ALB,90,24.99999999999997
HRV,90,24.99999999999997
GRC,90,24.99999999999997
KAZ,90,24.99999999999997
MLT,90,24.99999999999997
UZB,90,24.99999999999997
ROU,90,24.99999999999997
TJK,90,24.99999999999997
SRB,88.88888888888889,16.666666666666615
LVA,88.33333333333333,12.499999999999932
GEO,86.66666666666667,0
BIH,NA,NA
